Restaurants_Name,photos_count,stars,review_count,distance_km,address,hours,attributes,categories,euros,main_category
Volver,55.0,4.0,63.0,1.0035610929219794,Luisenstr. 4110117 Berlin,"{'Monday': '6:00 PM - 11:00 PM', 'Tuesday': '6:00 PM - 11:00 PM', 'Wednesday': '6:00 PM - 11:00 PM', 'Thursday': '6:00 PM - 11:00 PM', 'Friday': '6:00 PM - 11:00 PM', 'Saturday': '6:00 PM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Many Vegetarian Options",Tapas & Small Plates,,
Supersonico,10.0,4.5,4.0,2.4522867385129508,Bernauer Str. 71/7213355 Berlin,"{'Monday': 'Closed', 'Tuesday': '12:00 PM - 1:00 AM (Next day)', 'Wednesday': '12:00 PM - 1:00 AM (Next day)', 'Thursday': '12:00 PM - 1:00 AM (Next day)', 'Friday': '12:00 PM - 1:00 AM (Next day)', 'Saturday': '11:00 AM - 1:00 AM (Next day)', 'Sunday': '11:00 AM - 1:00 AM (Next day)'}",Takes Reservations,Italian,,Restaurant
BigStuffSmokedBBQ,28.0,4.5,38.0,5.016557343159886,Eisenbahnstr. 42/4310997 Berlin,"{'Monday': 'Closed', 'Tuesday': '12:00 PM - 6:00 PM', 'Wednesday': '12:00 PM - 6:00 PM', 'Thursday': '12:00 PM - 10:00 PM', 'Friday': '12:00 PM - 6:00 PM', 'Saturday': '12:00 PM - 6:00 PM', 'Sunday': 'Closed'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options",BBQ & Barbecue,,Restaurant
OsteriabeiPino,26.0,4.5,61.0,2.0203389009693553,Willdenowstr. 1213353 Berlin,"{'Monday': '5:00 PM - 12:00 AM (Next day)', 'Tuesday': '5:00 PM - 12:00 AM (Next day)', 'Wednesday': '5:00 PM - 12:00 AM (Next day)', 'Thursday': '5:00 PM - 12:00 AM (Next day)', 'Friday': '5:00 PM - 12:00 AM (Next day)', 'Saturday': '5:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",Italian,,Restaurant
NmNmStreet,57.0,5.0,1.0,,Platz vor dem Neuen Tor 210115 Berlin,"{'Monday': '11:00 AM - 7:00 PM', 'Tuesday': '11:00 AM - 7:00 PM', 'Wednesday': '11:00 AM - 7:00 PM', 'Thursday': '11:00 AM - 7:00 PM', 'Friday': '11:00 AM - 7:00 PM', 'Saturday': 'Closed', 'Sunday': 'Closed'}","Takes Reservations,Offers Delivery,Offers Takeout,Accepts Debit Cards",Vietnamese,,Restaurant
Ostfee,38.0,4.0,49.0,3.1876671615928256,Oderberger Str. 3910435 Berlin,"{'Monday': '8:00 AM - 6:00 PM', 'Tuesday': '8:00 AM - 6:00 PM', 'Wednesday': '8:00 AM - 6:00 PM', 'Thursday': '8:00 AM - 6:00 PM', 'Friday': '8:00 AM - 6:00 PM', 'Saturday': '9:00 AM - 8:00 PM', 'Sunday': '9:00 AM - 8:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options","Breakfast & Brunch,Cafes,Waffles",,Restaurant
Chipps,213.0,4.0,208.0,1.837823870060568,Jägerstr. 3510117 Berlin,"{'Monday': '9:00 AM - 10:00 PM', 'Tuesday': '9:00 AM - 10:00 PM', 'Wednesday': '9:00 AM - 10:00 PM', 'Thursday': '9:00 AM - 10:00 PM', 'Friday': '9:00 AM - 10:00 PM', 'Saturday': '9:00 AM - 10:00 PM', 'Sunday': '9:00 AM - 5:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","International,Breakfast & Brunch",,Restaurant
Picoteo,31.0,4.5,27.0,4.325597676149118,Erkelenzdamm 4710999 Berlin,"{'Monday': '6:00 PM - 12:00 AM (Next day)', 'Tuesday': '6:00 PM - 12:00 AM (Next day)', 'Wednesday': '6:00 PM - 12:00 AM (Next day)', 'Thursday': '6:00 PM - 12:00 AM (Next day)', 'Friday': '6:00 PM - 1:00 AM (Next day)', 'Saturday': '6:00 PM - 1:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Outdoor Seating","Spanish,Portuguese",,Restaurant
DanThaiFood,22.0,4.5,30.0,2.5105550798606147,Reinickendorfer Str. 9613347 Berlin,"{'Monday': '10:00 AM - 8:00 PM', 'Tuesday': '10:00 AM - 8:00 PM', 'Wednesday': '10:00 AM - 8:00 PM', 'Thursday': '10:00 AM - 8:00 PM', 'Friday': '10:00 AM - 8:00 PM', 'Saturday': '10:00 AM - 8:00 PM', 'Sunday': 'Closed'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options",Thai,,Restaurant
CORDO,41.0,5.0,4.0,1.9821766957970373,Große Hamburger Str. 3210115 Berlin,"{'Monday': 'Closed', 'Tuesday': '7:00 AM - 12:00 AM (Next day)', 'Wednesday': '7:00 AM - 12:00 AM (Next day)', 'Thursday': '7:00 AM - 12:00 AM (Next day)', 'Friday': '7:00 AM - 12:00 AM (Next day)', 'Saturday': '7:00 AM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","Northern German,Wine Bars",,Restaurant
RistoranteNuovoFirenze,30.0,4.5,3.0,2.1255507570158825,Invalidenstr. 610115 Berlin,"{'Monday': '11:30 AM - 12:00 AM (Next day)', 'Tuesday': '11:30 AM - 12:00 AM (Next day)', 'Wednesday': '11:30 AM - 12:00 AM (Next day)', 'Thursday': '11:30 AM - 12:00 AM (Next day)', 'Friday': '11:30 AM - 12:00 AM (Next day)', 'Saturday': '11:30 AM - 12:00 AM (Next day)', 'Sunday': '11:30 AM - 12:00 AM (Next day)'}",Outdoor Seating,"Italian,Mediterranean",,Restaurant
DansDimSum,27.0,4.0,18.0,3.093300630310551,Gleimstr. 1710437 Berlin,"{'Monday': '5:00 PM - 11:00 PM', 'Tuesday': '5:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating",Dim Sum,,Restaurant
Pantry,119.0,4.0,72.0,1.512768716541748,Friedrichstr. 12010117 Berlin,"{'Monday': '5:00 PM - 1:00 AM (Next day)', 'Tuesday': '5:00 PM - 1:00 AM (Next day)', 'Wednesday': '5:00 PM - 1:00 AM (Next day)', 'Thursday': '5:00 PM - 1:00 AM (Next day)', 'Friday': '5:00 PM - 1:00 AM (Next day)', 'Saturday': '5:00 PM - 1:00 AM (Next day)', 'Sunday': '5:00 PM - 1:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Outdoor Seating",Modern European,,Restaurant
Zaika,82.0,4.5,193.0,4.459649694238213,Wichertstr. 5710439 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",Indian,,Restaurant
RembrandtBurger,137.0,4.5,188.0,5.0625778986277545,Richard-Sorge-Str. 2110249 Berlin,"{'Monday': '12:00 PM - 10:00 PM', 'Tuesday': '12:00 PM - 10:00 PM', 'Wednesday': '12:00 PM - 10:00 PM', 'Thursday': '12:00 PM - 10:00 PM', 'Friday': '12:00 PM - 10:00 PM', 'Saturday': '12:00 PM - 10:00 PM', 'Sunday': '12:00 PM - 10:00 PM'}","Takes Reservations,Offers Delivery,Offers Takeout,Many Vegetarian Options",Burgers,,Restaurant
ShaniusHouseofNoodles,157.0,4.5,60.0,4.332278400529344,Pariser Str. 5810719 Berlin,"{'Monday': '12:00 PM - 10:00 PM', 'Tuesday': '12:00 PM - 10:00 PM', 'Wednesday': '12:00 PM - 10:00 PM', 'Thursday': '12:00 PM - 10:00 PM', 'Friday': '12:00 PM - 10:00 PM', 'Saturday': '12:00 PM - 10:00 PM', 'Sunday': '12:00 PM - 10:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","Chinese,Korean",,Restaurant
ChicagoWilliamsBBQ,109.0,3.5,138.0,,Hannoversche Str. 210115 Berlin,"{'Monday': '5:00 PM - 12:00 AM (Next day)', 'Tuesday': '5:00 PM - 12:00 AM (Next day)', 'Wednesday': '5:00 PM - 12:00 AM (Next day)', 'Thursday': '5:00 PM - 12:00 AM (Next day)', 'Friday': '5:00 PM - 12:00 AM (Next day)', 'Saturday': '5:00 PM - 12:00 AM (Next day)', 'Sunday': '5:00 PM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating","BBQ & Barbecue,Sandwiches",,Restaurant
Gm,14.0,4.5,15.0,5.68357350206511,Hauptstr. 14810827 Berlin,"{'Monday': '5:00 AM - 10:00 PM', 'Tuesday': '5:00 AM - 10:00 PM', 'Wednesday': '5:00 AM - 10:00 PM', 'Thursday': '5:00 AM - 10:00 PM', 'Friday': '5:00 AM - 10:00 PM', 'Saturday': '5:00 AM - 10:00 PM', 'Sunday': '5:00 AM - 10:00 PM'}","Offers Takeout,No Reservations,No Delivery,Outdoor Seating","Turkish,Bakeries",,Restaurant
Latrio,63.0,4.5,14.0,2.0391957906003175,Monbijouplatz 410178 Berlin,"{'Monday': '7:00 AM - 6:00 PM', 'Tuesday': '7:00 AM - 6:00 PM', 'Wednesday': '7:00 AM - 6:00 PM', 'Thursday': '7:00 AM - 6:00 PM', 'Friday': '7:00 AM - 6:00 PM', 'Saturday': '7:00 AM - 6:30 PM', 'Sunday': '7:00 AM - 6:30 PM'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options","Cafes,Breakfast & Brunch",,Restaurant
CChu,72.0,4.0,56.0,0.10667514284281335,Invalidenstr. 2910115 Berlin,"{'Monday': '11:00 AM - 11:00 PM', 'Tuesday': '11:00 AM - 11:00 PM', 'Wednesday': '11:00 AM - 11:00 PM', 'Thursday': '11:00 AM - 11:00 PM', 'Friday': '11:00 AM - 11:00 PM', 'Saturday': '11:00 AM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,Offers Delivery,Offers Takeout,Accepts Debit Cards",Vietnamese,,Restaurant
BoulevardFriedrichstrasse,115.0,4.0,59.0,,Friedrichstr. 106 C10117 Berlin,"{'Monday': '12:00 PM - 11:00 PM', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","German,Steakhouses",,Restaurant
Gianni,4.0,4.0,4.0,8.900683883845502,Stephanstr. 6710559 Berlin,{},"Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",Italian,,Restaurant
Sugar,37.0,4.5,22.0,1.8954770808571382,Wilhelmshavener Str. 1410551 Berlin,"{'Monday': 'Closed', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options","Cocktail Bars,Tapas Bars",,Restaurant
Transit,106.0,4.0,278.0,2.2721705309403064,Rosenthaler Str. 6810119 Berlin,"{'Monday': '11:00 AM - 12:00 AM (Next day)', 'Tuesday': '11:00 AM - 12:00 AM (Next day)', 'Wednesday': '11:00 AM - 12:00 AM (Next day)', 'Thursday': '11:00 AM - 12:00 AM (Next day)', 'Friday': '11:00 AM - 1:00 AM (Next day)', 'Saturday': '11:00 AM - 1:00 AM (Next day)', 'Sunday': '11:00 AM - 1:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Many Vegetarian Options","Indonesian,Thai",,Restaurant
Ixthys,78.0,4.0,146.0,3.516116149692876,Pallasstr. 2110781 Berlin,"{'Monday': '12:00 PM - 9:30 PM', 'Tuesday': '12:00 PM - 9:30 PM', 'Wednesday': '12:00 PM - 9:30 PM', 'Thursday': '12:00 PM - 9:30 PM', 'Friday': '12:00 PM - 9:30 PM', 'Saturday': '12:00 PM - 9:30 PM', 'Sunday': 'Closed'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options",Korean,,Restaurant
MonkeyMind,4.0,5.0,1.0,1.9903164132966897,Bredowstr. 1410551 Berlin,"{'Monday': '8:00 AM - 6:00 PM', 'Tuesday': 'Closed', 'Wednesday': '8:00 AM - 6:00 PM', 'Thursday': '8:00 AM - 6:00 PM', 'Friday': '8:00 AM - 6:00 PM', 'Saturday': '10:00 AM - 6:00 PM', 'Sunday': '10:00 AM - 5:00 PM'}","Offers Takeout,No Delivery,Many Vegetarian Options,Outdoor Seating","Cafes,Vegan,Breakfast & Brunch",,Restaurant
MyGoodness,19.0,4.5,5.0,,Brunnenstr. 24BECYCLE10119 Berlin,"{'Monday': '8:00 AM - 3:00 PM', 'Tuesday': '8:00 AM - 3:00 PM', 'Wednesday': '8:00 AM - 3:00 PM', 'Thursday': '8:00 AM - 3:00 PM', 'Friday': '8:00 AM - 3:00 PM', 'Saturday': '9:00 AM - 3:00 PM', 'Sunday': '9:00 AM - 3:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards","Juice Bar & Smoothies,Breakfast & Brunch,Vegan",,Restaurant
ChamandiRestaurant,6.0,5.0,4.0,2.5105550798606147,Reinickendorfer Str. 1313347 Berlin,"{'Monday': '9:00 AM - 12:00 AM (Next day)', 'Tuesday': '9:00 AM - 12:00 AM (Next day)', 'Wednesday': '9:00 AM - 12:00 AM (Next day)', 'Thursday': '9:00 AM - 12:00 AM (Next day)', 'Friday': '9:00 AM - 12:00 AM (Next day)', 'Saturday': '9:00 AM - 12:00 AM (Next day)', 'Sunday': '9:00 AM - 12:00 AM (Next day)'}","Takes Reservations,Offers Delivery,Offers Takeout,Good for Groups",Food Stands,,Restaurant
PeterPane,60.0,3.5,21.0,0.10667514284281335,Invalidenstr. 5310557 Berlin,"{'Monday': '11:00 AM - 12:00 AM (Next day)', 'Tuesday': '11:00 AM - 12:00 AM (Next day)', 'Wednesday': '11:00 AM - 12:00 AM (Next day)', 'Thursday': '11:00 AM - 12:00 AM (Next day)', 'Friday': '11:00 AM - 12:00 AM (Next day)', 'Saturday': '11:00 AM - 12:00 AM (Next day)', 'Sunday': '11:00 AM - 12:00 AM (Next day)'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",Burgers,,Restaurant
Pasternak,133.0,4.0,160.0,3.534845480230101,Knaackstr. 22/2410405 Berlin,"{'Monday': '9:00 AM - 11:00 PM', 'Tuesday': '9:00 AM - 11:00 PM', 'Wednesday': '9:00 AM - 11:00 PM', 'Thursday': '9:00 AM - 11:00 PM', 'Friday': '9:00 AM - 11:00 PM', 'Saturday': '9:00 AM - 11:00 PM', 'Sunday': '9:00 AM - 11:00 PM'}","Takes Reservations,Offers Delivery,Offers Takeout,Accepts Debit Cards","Russian,Jewish",,
Dnerbox,6.0,4.5,12.0,3.9679633243659995,Köpenickerstr. 7610179 Berlin,{},"Offers Takeout,No Reservations,No Delivery,Loud",Kebab,,Restaurant
RodolfosTapasBar,37.0,4.5,21.0,3.2008798920106183,Choriner Str. 6210435 Berlin,"{'Monday': 'Closed', 'Tuesday': '6:00 PM - 12:00 AM (Next day)', 'Wednesday': '6:00 PM - 12:00 AM (Next day)', 'Thursday': '6:00 PM - 12:00 AM (Next day)', 'Friday': '6:00 PM - 12:00 AM (Next day)', 'Saturday': '6:00 PM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating","Spanish,Tapas Bars,Latin American",,Restaurant
Lokal,75.0,4.0,79.0,1.986730591433398,Linienstr. 16010115 Berlin,"{'Monday': '5:00 PM - 12:00 AM (Next day)', 'Tuesday': '5:00 PM - 12:00 AM (Next day)', 'Wednesday': '5:00 PM - 12:00 AM (Next day)', 'Thursday': '5:00 PM - 12:00 AM (Next day)', 'Friday': '5:00 PM - 12:00 AM (Next day)', 'Saturday': '5:00 PM - 12:00 AM (Next day)', 'Sunday': '5:00 PM - 12:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",German,,Restaurant
SaporidiCasa,17.0,5.0,3.0,1.2981374105047803,Wilsnacker Str. 6110559 Berlin,"{'Monday': '4:00 PM - 11:00 PM', 'Tuesday': '4:00 PM - 11:00 PM', 'Wednesday': '4:00 PM - 11:00 PM', 'Thursday': '4:00 PM - 11:00 PM', 'Friday': '4:00 PM - 11:00 PM', 'Saturday': '4:00 PM - 11:00 PM', 'Sunday': '11:30 AM - 11:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating","Italian,Pizza",,Restaurant
BBIBerlinburgerInternational,214.0,4.5,329.0,6.00821873662814,Pannierstr. 512047 Berlin,"{'Monday': '12:00 PM - 11:00 PM', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 10:00 PM'}","Offers Takeout,No Reservations,No Delivery,Many Vegetarian Options",Burgers,,Restaurant
Simply,7.0,4.5,7.0,4.79425453007415,Pasteurstr. 210407 Berlin,"{'Monday': '8:30 AM - 5:00 PM', 'Tuesday': '8:30 AM - 5:00 PM', 'Wednesday': '8:30 AM - 5:00 PM', 'Thursday': 'Closed', 'Friday': '8:30 AM - 5:00 PM', 'Saturday': '9:00 AM - 4:00 PM', 'Sunday': '9:00 AM - 4:00 PM'}","Takes Reservations,Offers Takeout,Outdoor Seating,Quiet","Cafes,American (Traditional),Sandwiches",,Restaurant
heimlichTreu,25.0,4.5,9.0,2.162742321617776,Anklamer Str. 3810115 Berlin,"{'Monday': '12:00 PM - 3:00 PM', 'Tuesday': '12:00 PM - 3:00 PM', 'Wednesday': '12:00 PM - 3:00 PM', 'Thursday': '12:00 PM - 3:00 PM', 'Friday': '12:00 PM - 3:00 PM', 'Saturday': '6:00 PM - 2:00 AM (Next day)', 'Sunday': '6:00 PM - 1:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",Modern European,,Restaurant
MARS,25.0,4.5,6.0,2.202253156873866,Gerichtstr. 3513347 Berlin,"{'Monday': '11:00 AM - 6:00 PM', 'Tuesday': '11:00 AM - 6:00 PM', 'Wednesday': '11:00 AM - 6:00 PM', 'Thursday': '11:00 AM - 6:00 PM', 'Friday': '11:00 AM - 6:00 PM', 'Saturday': '10:00 AM - 5:00 PM', 'Sunday': '10:00 AM - 5:00 PM'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",Cafes,,Restaurant
MinhSan,,4.5,4.0,0.6362740831856992,Reinhardtstr. 4410117 Berlin,"{'Monday': '11:30 AM - 10:00 PM', 'Tuesday': '11:30 AM - 10:00 PM', 'Wednesday': '11:30 AM - 10:00 PM', 'Thursday': '11:30 AM - 10:00 PM', 'Friday': '11:30 AM - 10:00 PM', 'Saturday': '5:00 PM - 10:00 PM', 'Sunday': 'Closed'}","Takes Reservations,No Takeout,Accepts Debit Cards",Vietnamese,,Restaurant
VietBowl,18.0,4.0,2.0,,Marlene-Dietrich-Platz 110785 Berlin,"{'Monday': '11:00 AM - 11:00 PM', 'Tuesday': '11:00 AM - 11:00 PM', 'Wednesday': '11:00 AM - 11:00 PM', 'Thursday': '11:00 AM - 11:00 PM', 'Friday': '11:00 AM - 11:00 PM', 'Saturday': '11:00 AM - 11:00 PM', 'Sunday': '11:00 AM - 11:00 PM'}","Many Vegetarian Options,Accepts Debit Cards","Vietnamese,Sushi",,Restaurant
Facil,107.0,4.5,70.0,2.2160633155699143,Potsdamer Str. 310785 Berlin,"{'Monday': '12:00 PM - 3:30 PM', 'Tuesday': '12:00 PM - 3:30 PM', 'Wednesday': '12:00 PM - 3:30 PM', 'Thursday': '12:00 PM - 3:30 PM', 'Friday': '12:00 PM - 3:30 PM', 'Saturday': 'Closed', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Outdoor Seating",French,,Restaurant
Shalimar,35.0,4.5,68.0,,Bellermannstr. 17 A13357 Berlin,"{'Monday': '12:00 PM - 4:00 PM', 'Tuesday': '12:00 PM - 4:00 PM', 'Wednesday': '12:00 PM - 4:00 PM', 'Thursday': '12:00 PM - 4:00 PM', 'Friday': '12:00 PM - 4:00 PM', 'Saturday': '12:00 PM - 4:00 PM', 'Sunday': '12:00 PM - 4:00 PM'}","Takes Reservations,No Delivery,No Takeout,Outdoor Seating",Pakistani,,
AkkoRestaurant,15.0,4.5,16.0,2.8518166504683515,Pankstr. 5213357 Berlin,"{'Monday': '9:00 AM - 10:00 PM', 'Tuesday': '9:00 AM - 10:00 PM', 'Wednesday': '9:00 AM - 10:00 PM', 'Thursday': '9:00 AM - 10:00 PM', 'Friday': '9:00 AM - 10:00 PM', 'Saturday': '9:00 AM - 10:00 PM', 'Sunday': '9:00 AM - 10:00 PM'}","Offers Takeout,No Reservations,No Delivery,Outdoor Seating","Middle Eastern,Food Stands",,Restaurant
HasirBurger,11.0,4.0,12.0,,Chauseestr. 3010115 Berlin,"{'Monday': '11:00 AM - 11:00 PM', 'Tuesday': '11:00 AM - 11:00 PM', 'Wednesday': '11:00 AM - 11:00 PM', 'Thursday': '11:00 AM - 11:00 PM', 'Friday': '11:00 AM - 11:00 PM', 'Saturday': '11:00 AM - 11:00 PM', 'Sunday': '11:00 AM - 11:00 PM'}","Offers Takeout,No Reservations,No Delivery,Good For Kids","Burgers,Takeaway & Fast Food",,Restaurant
FrhsammersRestaurant,32.0,5.0,21.0,6.985217807318741,Flinsberger Platz 814193 Berlin,"{'Monday': '12:00 PM - 2:30 PM', 'Tuesday': '12:00 PM - 2:30 PM', 'Wednesday': '12:00 PM - 2:30 PM', 'Thursday': '12:00 PM - 2:30 PM', 'Friday': '12:00 PM - 2:30 PM', 'Saturday': '7:00 PM - 1:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",Modern European,,Restaurant
Uferlos,7.0,4.0,29.0,2.983154544580496,Uferstr. 1313357 Berlin,"{'Monday': '4:00 AM - 11:00 PM', 'Tuesday': '4:00 AM - 11:00 PM', 'Wednesday': '4:00 AM - 11:00 PM', 'Thursday': '4:00 AM - 11:00 PM', 'Friday': '4:00 AM - 11:00 PM', 'Saturday': '4:00 AM - 11:00 PM', 'Sunday': '4:00 AM - 11:00 PM'}","Takes Reservations,No Delivery,No Takeout,Outdoor Seating","Italian,Beer Gardens,German",,Restaurant
Hugos,79.0,5.0,37.0,3.252109171832649,Budapester Str. 210787 Berlin,"{'Monday': 'Closed', 'Tuesday': '6:30 PM - 12:00 AM (Next day)', 'Wednesday': '6:30 PM - 12:00 AM (Next day)', 'Thursday': '6:30 PM - 12:00 AM (Next day)', 'Friday': '6:30 PM - 12:00 AM (Next day)', 'Saturday': '6:30 PM - 12:00 AM (Next day)', 'Sunday': 'Closed'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","German,Modern European",,Restaurant
KatzOrange,148.0,4.0,149.0,2.1836226242222407,Bergstr. 2210115 Berlin,"{'Monday': '6:00 PM - 12:00 AM (Next day)', 'Tuesday': '6:00 PM - 12:00 AM (Next day)', 'Wednesday': '6:00 PM - 12:00 AM (Next day)', 'Thursday': '6:00 PM - 12:00 AM (Next day)', 'Friday': '6:00 PM - 12:00 AM (Next day)', 'Saturday': '6:00 PM - 12:00 AM (Next day)', 'Sunday': '6:00 PM - 12:00 AM (Next day)'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards","Bars,German",,Restaurant
GasthausKrombach,140.0,4.5,109.0,3.768649580290318,Meinekestr. 410719 Berlin,"{'Monday': 'Closed', 'Tuesday': '12:00 PM - 11:00 PM', 'Wednesday': '12:00 PM - 11:00 PM', 'Thursday': '12:00 PM - 11:00 PM', 'Friday': '12:00 PM - 11:00 PM', 'Saturday': '12:00 PM - 11:00 PM', 'Sunday': '12:00 PM - 11:00 PM'}","Takes Reservations,No Delivery,No Takeout,Accepts Debit Cards",German,,Restaurant
Harapeco,51.0,4.0,23.0,7.205010066343715,Neue Bahnhofstr. 310245 Berlin,"{'Monday': 'Closed', 'Tuesday': '12:00 PM - 10:30 PM', 'Wednesday': '12:00 PM - 10:30 PM', 'Thursday': '12:00 PM - 10:30 PM', 'Friday': '12:00 PM - 10:30 PM', 'Saturday': '12:00 PM - 10:30 PM', 'Sunday': '12:00 PM - 10:30 PM'}","Takes Reservations,Offers Delivery,Offers Takeout,Outdoor Seating",Japanese,,Restaurant
Sisaket,47.0,4.5,21.0,2.747228581982727,Dircksenstr. 4710178 Berlin,"{'Monday': '11:30 AM - 11:30 PM', 'Tuesday': '11:30 AM - 11:30 PM', 'Wednesday': '11:30 AM - 11:30 PM', 'Thursday': '11:30 AM - 11:30 PM', 'Friday': '11:30 AM - 11:30 PM', 'Saturday': '1:00 PM - 11:30 PM', 'Sunday': 'Closed'}","Takes Reservations,Offers Takeout,No Delivery,Accepts Debit Cards",Thai,,Restaurant
MozzarellaPomodoro,111.0,5.0,13.0,2.2075477310561364,Torstr. 9710119 Berlin,"{'Monday': '12:00 PM - 8:00 PM', 'Tuesday': '12:00 PM - 8:00 PM', 'Wednesday': '12:00 PM - 8:00 PM', 'Thursday': '12:00 PM - 8:00 PM', 'Friday': '12:00 PM - 8:00 PM', 'Saturday': '4:00 PM - 8:00 PM', 'Sunday': 'Closed'}","Takes Reservations,Offers Takeout,No Delivery,Outdoor Seating","Italian,Pizza",,Restaurant
Marthas,5.0,4.5,3.0,4.421702440360162,Mehringdamm 4010961 Berlin,"{'Monday': '12:00 PM - 12:00 AM (Next day)', 'Tuesday': '12:00 PM - 12:00 AM (Next day)', 'Wednesday': '12:00 PM - 12:00 AM (Next day)', 'Thursday': '12:00 PM - 12:00 AM (Next day)', 'Friday': '12:00 PM - 12:00 AM (Next day)', 'Saturday': '12:00 PM - 12:00 AM (Next day)', 'Sunday': '12:00 PM - 12:00 AM (Next day)'}",,"Burgers,Takeaway & Fast Food",,Restaurant
QBurger,6.0,4.0,6.0,2.747119517891835,Markgrafen Str. 5810117 Berlin,"{'Monday': '11:30 AM - 9:30 PM', 'Tuesday': '11:30 AM - 9:30 PM', 'Wednesday': '11:30 AM - 9:30 PM', 'Thursday': '11:30 AM - 9:30 PM', 'Friday': '11:30 AM - 9:30 PM', 'Saturday': '1:00 PM - 9:30 PM', 'Sunday': '1:00 PM - 9:30 PM'}",,Burgers,,Restaurant
